"","type","length","name","instances","proportion","songs","proportion.cumulative","rank","proportion.zm"
"1311","relative pitch",3,"-4_+5",3,0.000200852676043215,3,0.991606861785037,218,0.000401201696964873
"1312","relative pitch",3,"-8_+10",6,0.000200612266758876,2,0.991807474051795,219,0.00039901599265723
"1313","relative pitch",3,"-2_+1",11,0.000198924406897713,5,0.992006398458693,220,0.000396852066709138
"1314","relative pitch",3,"+11_-1",10,0.000193483476511106,1,0.992199881935204,221,0.000394709604656848
"1315","relative pitch",3,"-2_+6",11,0.000192263421419702,6,0.992392145356624,222,0.000392588297971884
"1316","relative pitch",3,"+7_+4",7,0.000189731963273794,3,0.992581877319898,223,0.000390487843922935
"1317","relative pitch",3,"-11_+9",8,0.000184229918938836,1,0.992766107238837,224,0.000388407945441556
"1318","relative pitch",3,"-3_+4",4,0.000183188693833065,3,0.99294929593267,225,0.000386348310991567
"1319","relative pitch",3,"-1_+4",7,0.00017645096524216,5,0.993125746897912,226,0.000384308654442029
"1320","relative pitch",3,"+3_-4",6,0.000167067004516155,4,0.993292813902428,227,0.000382288694943678
"1321","relative pitch",3,"+6_+0",8,0.000167030654086665,5,0.993459844556515,228,0.000380288156808717
"1322","relative pitch",3,"-4_+11",6,0.000164957272750634,2,0.993624801829265,229,0.000378306769393854
"1323","relative pitch",3,"+3_-6",5,0.000164815897136178,2,0.993789617726402,230,0.00037634426698649
"1324","relative pitch",3,"+4_+5",9,0.000164399552700814,2,0.993954017279102,231,0.000374400388693949
"1325","relative pitch",3,"-5_+4",8,0.000157877675572649,2,0.994111894954675,232,0.000372474878335673
"1326","relative pitch",3,"+7_-11",5,0.000157544787028545,3,0.994269439741704,233,0.000370567484338271
"1327","relative pitch",3,"+4_-3",7,0.000157442251973268,5,0.994426881993677,234,0.000368677959633349
"1328","relative pitch",3,"-9_+3",8,0.000149538476348417,2,0.994576420470025,235,0.000366806061558028
"1329","relative pitch",3,"-3_+9",4,0.000146594331980581,3,0.994723014802006,236,0.000364951551758071
"1330","relative pitch",3,"+5_-8",2,0.000146113383985973,1,0.994869128185992,237,0.00036311419609354
"1331","relative pitch",3,"-1_+7",10,0.000145735249965865,4,0.995014863435958,238,0.000361293764546908
"1332","relative pitch",3,"-4_+3",2,0.000145405887600357,2,0.995160269323558,239,0.000359490031133544
"1333","relative pitch",3,"-1_+2",9,0.000145336218098952,3,0.995305605541657,240,0.000357702773814515
"1334","relative pitch",3,"+2_-6",4,0.000143563456113121,3,0.99544916899777,241,0.000355931774411621
"1335","relative pitch",3,"-6_+6",5,0.000139249066919387,3,0.995588418064689,242,0.000354176818524603
"1336","relative pitch",3,"-6_+3",4,0.000130917592051432,2,0.995719335656741,243,0.000352437695450462
"1337","relative pitch",3,"+9_-5",4,0.000122082731397644,2,0.995841418388139,244,0.000350714198104824
"1338","relative pitch",3,"+2_+8",4,0.000105915607153252,3,0.995947333995292,245,0.000349006122945289
"1339","relative pitch",3,"+5_-7",2,9.97761432683083e-05,2,0.99604711013856,246,0.000347313269896712
"1340","relative pitch",3,"-7_-3",3,9.9412027682241e-05,3,0.996146522166242,247,0.00034563544227835
