"q","year","est","cilo","cihi"
3,1975,0.0385284651553898,0.000507950412099821,0.0776307570852365
3,1976,0.040160875551912,0.000404623566550615,0.0810288675588802
3,1977,0.041800306855381,0.000290682771724258,0.0845407831884414
3,1978,0.0434467590657966,0.00014602846563114,0.0880626247590745
3,1979,0.0451002321831589,-7.00835142605231e-05,0.0915898957014379
3,1980,0.0467607262074678,-0.000229815810408931,0.095132942061658
3,1981,0.0484282411387234,-0.000465546288623403,0.0988169884352103
3,1982,0.0501027769769257,-0.000681533997939994,0.102428014814472
3,1983,0.0517843337220747,-0.000873941333044009,0.105938268850134
3,1984,0.0534729113741703,-0.00114192219615625,0.109580738268929
3,1985,0.0551685099332126,-0.00135641414685803,0.113212050846938
3,1986,0.0568711293992016,-0.00165015625893373,0.117074754763482
3,1987,0.0585807697721372,-0.00190411309590754,0.120776390525876
3,1988,0.0602974310520195,-0.0021580904218083,0.124480879936215
3,1989,0.0620211132388485,-0.00250402930198842,0.128193632384624
3,1990,0.0637518163326241,-0.00282726841816912,0.13200917576071
3,1991,0.0654895403333464,-0.00312820544424926,0.136045682230225
3,1992,0.0672342852410154,-0.00343660426042059,0.139960743587695
3,1993,0.068986051055631,-0.00372565871983299,0.143876492046532
3,1994,0.0707448377771933,-0.00405287413742524,0.147813289353489
3,1995,0.0725106454057023,-0.00438053678619704,0.151929148307334
3,1996,0.0742834739411579,-0.00486187080121506,0.156006255690725
3,1997,0.0760633233835602,-0.00535730991303656,0.159984569582609
3,1998,0.0778501937329092,-0.00581045290585052,0.164073496708702
3,1999,0.0796440849892048,-0.00620294440356072,0.168192704082273
3,2000,0.0814449971524472,-0.00677243441056706,0.172382999411774
